,12-28-2017,1-28-2018,2-28-2018,3-28-2018,3-28-2021
307,2.0,33.0,19.0,4.0,2.0
308,1.0,66.0,28.0,9.0,66.0
309,2.0,38.0,33.0,13.0,33.0
310,12.0,305.0,215.0,67.0,215.0
311,11.0,338.0,195.0,51.0,11.0
312,16.0,259.0,209.0,54.0,54.0
313,1.0,44.0,28.0,11.0,44.0
314,6.0,221.0,177.0,45.0,177.0
315,9.0,335.0,197.0,57.0,57.0
316,15.0,259.0,176.0,56.0,15.0
317,7.0,134.0,111.0,30.0,111.0
318,4.0,50.0,38.0,10.0,38.0
319,4.0,111.0,87.0,23.0,4.0
320,6.0,129.0,102.0,27.0,129.0
321,2.0,129.0,83.0,31.0,129.0
322,2.0,251.0,177.0,60.0,60.0
323,3.0,33.0,23.0,5.0,23.0
324,6.0,98.0,74.0,25.0,74.0
325,10.0,169.0,155.0,48.0,10.0
326,4.0,109.0,76.0,37.0,4.0
327,9.0,239.0,147.0,30.0,9.0
328,7.0,219.0,125.0,28.0,28.0
329,7.0,346.0,248.0,64.0,64.0
330,3.0,143.0,83.0,30.0,83.0
331,13.0,169.0,127.0,33.0,13.0
332,14.0,143.0,71.0,41.0,71.0
333,13.0,203.0,189.0,55.0,13.0
334,0.0,1.0,0.0,0.0,0.0
335,0.0,0.0,0.0,0.0,0.0
336,0.0,10.0,8.0,2.0,0.0
337,0.0,3.0,0.0,0.0,0.0
338,0.0,3.0,1.0,0.0,0.0
339,2.0,9.0,5.0,0.0,2.0
340,0.0,3.0,2.0,2.0,3.0
341,0.0,0.0,0.0,0.0,0.0
342,0.0,21.0,2.0,3.0,21.0
343,0.0,0.0,0.0,0.0,0.0
344,0.0,8.0,6.0,3.0,6.0
345,1.0,42.0,38.0,9.0,1.0
346,2.0,43.0,19.0,11.0,2.0
347,4.0,78.0,60.0,25.0,60.0
348,2.0,51.0,40.0,10.0,51.0
349,0.0,50.0,48.0,13.0,0.0
350,2.0,62.0,52.0,15.0,52.0
351,8.0,227.0,192.0,46.0,46.0
352,3.0,18.0,18.0,6.0,3.0
353,2.0,71.0,66.0,15.0,15.0
354,1.0,49.0,54.0,9.0,9.0
355,1.0,40.0,35.0,19.0,19.0
356,2.0,85.0,69.0,19.0,2.0
357,5.0,30.0,24.0,5.0,5.0
358,2.0,60.0,44.0,10.0,60.0
359,5.0,138.0,92.0,28.0,138.0
360,5.0,27.0,31.0,12.0,27.0
361,8.0,37.0,24.0,7.0,8.0
362,0.0,20.0,14.0,6.0,6.0
363,3.0,36.0,27.0,6.0,27.0
364,2.0,60.0,56.0,10.0,60.0
365,1.0,24.0,21.0,13.0,24.0
366,0.0,23.0,5.0,14.0,0.0
367,1.0,34.0,29.0,12.0,1.0
368,1.0,15.0,21.0,6.0,15.0
369,6.0,57.0,60.0,9.0,57.0
370,3.0,16.0,18.0,7.0,3.0
371,1.0,35.0,28.0,3.0,28.0
372,3.0,59.0,51.0,10.0,3.0
373,4.0,112.0,85.0,20.0,112.0
374,2.0,63.0,37.0,14.0,14.0
375,2.0,33.0,13.0,16.0,16.0
376,0.0,29.0,22.0,7.0,0.0
377,2.0,36.0,16.0,9.0,36.0
378,5.0,44.0,29.0,8.0,8.0
379,6.0,41.0,31.0,13.0,41.0
380,3.0,26.0,18.0,5.0,3.0
381,2.0,31.0,19.0,5.0,31.0
382,0.0,16.0,14.0,5.0,0.0
383,1.0,19.0,12.0,2.0,12.0
384,1.0,2.0,6.0,0.0,6.0
385,0.0,16.0,8.0,1.0,0.0
386,1.0,15.0,8.0,6.0,8.0
387,1.0,17.0,6.0,3.0,6.0
389,0.0,0.0,0.0,0.0,0.0
389,2.0,39.0,30.0,8.0,30.0
390,2.0,11.0,13.0,2.0,13.0
391,1.0,4.0,6.0,4.0,4.0
392,1.0,37.0,26.0,4.0,37.0
393,0.0,2.0,0.0,0.0,0.0
394,0.0,2.0,2.0,0.0,0.0
395,0.0,5.0,3.0,0.0,0.0
396,0.0,13.0,12.0,1.0,1.0
397,0.0,0.0,4.0,1.0,1.0
398,0.0,8.0,4.0,1.0,4.0
399,0.0,26.0,20.0,13.0,0.0
400,0.0,8.0,3.0,1.0,0.0
401,1.0,14.0,4.0,3.0,3.0
402,0.0,2.0,2.0,1.0,2.0
403,0.0,1.0,3.0,0.0,3.0
404,0.0,8.0,0.0,1.0,8.0
405,14.0,49.0,45.0,5.0,45.0
406,1.0,43.0,15.0,4.0,15.0
407,19.0,16.0,11.0,16.0,16.0
408,2.0,58.0,47.0,11.0,11.0
409,0.0,17.0,12.0,10.0,17.0
410,0.0,22.0,11.0,7.0,11.0
411,3.0,17.0,4.0,5.0,3.0
412,1.0,5.0,3.0,6.0,6.0
413,0.0,21.0,8.0,6.0,6.0
414,2.0,15.0,15.0,7.0,2.0
415,0.0,10.0,7.0,1.0,1.0
416,0.0,45.0,39.0,11.0,11.0
417,4.0,6.0,5.0,4.0,4.0
418,0.0,8.0,2.0,2.0,8.0
419,0.0,1.0,1.0,6.0,1.0
420,2.0,127.0,74.0,28.0,74.0
421,0.0,43.0,49.0,9.0,0.0
422,0.0,40.0,29.0,13.0,0.0
423,2.0,46.0,32.0,8.0,8.0
424,0.0,43.0,39.0,11.0,39.0
425,1.0,70.0,67.0,12.0,67.0
426,5.0,76.0,94.0,17.0,5.0
427,0.0,15.0,14.0,1.0,15.0
428,0.0,46.0,31.0,5.0,31.0
429,0.0,29.0,22.0,5.0,0.0
430,0.0,60.0,41.0,12.0,0.0
431,0.0,3.0,4.0,0.0,0.0
432,0.0,29.0,22.0,5.0,0.0
433,1.0,46.0,35.0,12.0,35.0
434,1.0,98.0,74.0,24.0,1.0
435,0.0,10.0,14.0,8.0,0.0
436,0.0,26.0,9.0,2.0,26.0
437,0.0,13.0,4.0,4.0,4.0
438,0.0,2.0,2.0,0.0,2.0
439,1.0,3.0,7.0,0.0,0.0
440,0.0,11.0,6.0,3.0,3.0
441,0.0,0.0,0.0,0.0,0.0
442,0.0,2.0,0.0,1.0,0.0
443,0.0,1.0,2.0,0.0,2.0
444,0.0,4.0,7.0,3.0,3.0
445,0.0,3.0,0.0,0.0,3.0
446,0.0,1.0,2.0,0.0,2.0
447,0.0,0.0,1.0,0.0,1.0
448,3.0,5.0,5.0,0.0,5.0
449,1.0,7.0,3.0,1.0,1.0
450,0.0,33.0,34.0,8.0,34.0
451,1.0,5.0,14.0,4.0,5.0
452,0.0,7.0,9.0,1.0,0.0
453,1.0,25.0,15.0,2.0,15.0
454,1.0,31.0,26.0,7.0,26.0
455,0.0,12.0,7.0,1.0,12.0
456,0.0,16.0,6.0,5.0,5.0
457,3.0,19.0,19.0,3.0,19.0
458,2.0,19.0,15.0,2.0,2.0
459,0.0,2.0,1.0,1.0,1.0
460,0.0,4.0,3.0,0.0,3.0
461,0.0,2.0,0.0,0.0,2.0
462,0.0,0.0,1.0,0.0,0.0
463,0.0,0.0,2.0,0.0,0.0
464,0.0,1.0,1.0,2.0,2.0
465,0.0,7.0,0.0,0.0,0.0
466,0.0,3.0,2.0,0.0,0.0
467,0.0,14.0,7.0,4.0,4.0
468,0.0,1.0,4.0,1.0,4.0
469,0.0,8.0,1.0,1.0,8.0
470,0.0,5.0,2.0,2.0,0.0
471,0.0,0.0,3.0,0.0,0.0
472,0.0,17.0,6.0,6.0,0.0
473,0.0,10.0,8.0,1.0,10.0
474,0.0,4.0,4.0,2.0,4.0
475,0.0,7.0,5.0,3.0,7.0
476,0.0,6.0,5.0,1.0,5.0
477,0.0,2.0,0.0,0.0,2.0
478,0.0,8.0,5.0,1.0,1.0
479,1.0,9.0,2.0,3.0,3.0
480,0.0,0.0,4.0,0.0,0.0
481,0.0,0.0,1.0,0.0,1.0
482,0.0,15.0,6.0,5.0,0.0
483,0.0,7.0,4.0,4.0,7.0
484,0.0,6.0,2.0,1.0,2.0
485,0.0,4.0,4.0,2.0,2.0
486,0.0,4.0,1.0,3.0,1.0
487,0.0,4.0,4.0,0.0,0.0
488,3.0,74.0,56.0,15.0,3.0
489,4.0,53.0,52.0,16.0,16.0
490,0.0,28.0,65.0,18.0,18.0
491,4.0,22.0,14.0,4.0,14.0
492,11.0,137.0,121.0,26.0,121.0
493,1.0,28.0,18.0,3.0,28.0
494,0.0,19.0,15.0,5.0,5.0
495,2.0,9.0,13.0,2.0,2.0
496,0.0,50.0,32.0,8.0,0.0
497,0.0,16.0,14.0,2.0,0.0
498,1.0,59.0,49.0,11.0,1.0
499,2.0,36.0,30.0,10.0,36.0
500,2.0,14.0,18.0,0.0,18.0
501,1.0,39.0,28.0,8.0,1.0
502,0.0,20.0,9.0,3.0,0.0
503,1.0,48.0,23.0,17.0,48.0
504,4.0,65.0,69.0,24.0,4.0
505,1.0,29.0,16.0,3.0,29.0
506,0.0,81.0,86.0,35.0,35.0
507,1.0,49.0,49.0,18.0,18.0
508,7.0,63.0,55.0,14.0,7.0
509,3.0,88.0,46.0,23.0,46.0
510,3.0,16.0,38.0,12.0,16.0
511,0.0,51.0,64.0,9.0,9.0
512,0.0,99.0,54.0,28.0,28.0
513,0.0,8.0,7.0,6.0,8.0
514,1.0,15.0,10.0,3.0,10.0
515,1.0,10.0,1.0,1.0,10.0
516,3.0,38.0,28.0,7.0,3.0
517,0.0,21.0,16.0,5.0,16.0
518,2.0,13.0,9.0,4.0,13.0
519,0.0,15.0,14.0,5.0,15.0
520,1.0,12.0,1.0,3.0,1.0
521,2.0,51.0,34.0,8.0,34.0
522,1.0,50.0,38.0,13.0,50.0
523,2.0,10.0,5.0,0.0,2.0
524,0.0,9.0,9.0,2.0,0.0
525,0.0,8.0,5.0,1.0,5.0
526,0.0,16.0,16.0,3.0,16.0
527,3.0,63.0,37.0,4.0,63.0
528,4.0,19.0,10.0,6.0,4.0
529,0.0,8.0,11.0,2.0,2.0
530,4.0,39.0,38.0,29.0,38.0
531,0.0,11.0,3.0,0.0,11.0
532,2.0,56.0,35.0,13.0,2.0
533,0.0,31.0,17.0,12.0,17.0
534,6.0,40.0,20.0,8.0,40.0
535,2.0,28.0,19.0,7.0,2.0
536,4.0,42.0,25.0,7.0,7.0
537,1.0,37.0,31.0,15.0,1.0
538,1.0,11.0,17.0,2.0,17.0
539,2.0,13.0,8.0,2.0,8.0
540,1.0,24.0,12.0,8.0,1.0
541,0.0,8.0,1.0,3.0,3.0
542,2.0,17.0,9.0,7.0,17.0
543,0.0,19.0,29.0,9.0,19.0
544,6.0,80.0,58.0,14.0,6.0
545,1.0,18.0,11.0,3.0,1.0
546,2.0,97.0,60.0,30.0,2.0
547,5.0,21.0,19.0,1.0,21.0
548,0.0,14.0,18.0,1.0,1.0
549,0.0,4.0,3.0,4.0,3.0
550,3.0,12.0,11.0,2.0,11.0
551,1.0,21.0,11.0,0.0,11.0
552,0.0,6.0,5.0,7.0,7.0
553,0.0,9.0,18.0,1.0,9.0
554,0.0,7.0,5.0,2.0,0.0
555,0.0,6.0,6.0,3.0,6.0
556,1.0,8.0,9.0,5.0,8.0
557,1.0,15.0,13.0,5.0,13.0
558,1.0,3.0,4.0,6.0,4.0
559,1.0,7.0,7.0,3.0,1.0
560,1.0,16.0,22.0,4.0,22.0
561,0.0,27.0,7.0,1.0,0.0
562,0.0,22.0,11.0,8.0,8.0
563,0.0,34.0,22.0,9.0,0.0
564,1.0,19.0,25.0,8.0,25.0
565,0.0,8.0,12.0,2.0,12.0
566,0.0,26.0,25.0,3.0,3.0
567,0.0,15.0,15.0,10.0,0.0
568,1.0,18.0,25.0,9.0,25.0
569,1.0,8.0,6.0,6.0,6.0
570,4.0,55.0,29.0,7.0,7.0
571,0.0,20.0,5.0,2.0,2.0
572,0.0,4.0,6.0,5.0,5.0
573,0.0,12.0,7.0,0.0,0.0
574,1.0,2.0,3.0,0.0,0.0
575,12.0,11.0,5.0,3.0,12.0
576,0.0,12.0,4.0,1.0,4.0
577,0.0,13.0,9.0,0.0,0.0
578,0.0,6.0,1.0,0.0,1.0
579,0.0,10.0,8.0,2.0,0.0
580,1.0,21.0,17.0,2.0,21.0
581,7.0,63.0,48.0,14.0,14.0
582,0.0,0.0,1.0,0.0,1.0
583,1.0,19.0,24.0,5.0,19.0
584,1.0,36.0,19.0,0.0,36.0
585,0.0,16.0,4.0,4.0,16.0
586,0.0,5.0,3.0,1.0,3.0
587,1.0,11.0,9.0,3.0,1.0
588,1.0,8.0,2.0,2.0,8.0
589,2.0,33.0,31.0,1.0,2.0
590,3.0,19.0,24.0,3.0,24.0
591,1.0,18.0,11.0,4.0,11.0
592,0.0,32.0,22.0,9.0,32.0
593,2.0,26.0,20.0,12.0,2.0
594,0.0,3.0,2.0,1.0,1.0
595,1.0,33.0,27.0,10.0,10.0
596,0.0,5.0,3.0,2.0,5.0
597,1.0,4.0,0.0,0.0,1.0
598,2.0,15.0,5.0,1.0,5.0
599,0.0,16.0,7.0,0.0,16.0
600,0.0,0.0,0.0,0.0,0.0
601,0.0,16.0,6.0,0.0,6.0
602,0.0,3.0,1.0,0.0,1.0
603,0.0,0.0,7.0,0.0,0.0
604,1.0,95.0,15.0,1.0,1.0
605,0.0,4.0,5.0,1.0,0.0
606,0.0,15.0,6.0,2.0,0.0
607,0.0,1.0,0.0,0.0,0.0
608,0.0,0.0,0.0,0.0,0.0
609,0.0,0.0,3.0,0.0,3.0
610,0.0,0.0,1.0,0.0,0.0
611,0.0,0.0,1.0,1.0,0.0
612,0.0,6.0,2.0,1.0,6.0
613,12.0,68.0,40.0,29.0,68.0
614,0.0,1.0,0.0,0.0,0.0
615,1.0,6.0,7.0,2.0,7.0
616,0.0,19.0,14.0,2.0,14.0
617,1.0,66.0,57.0,17.0,66.0
618,0.0,6.0,5.0,3.0,0.0
619,0.0,19.0,9.0,1.0,19.0
620,0.0,10.0,3.0,2.0,10.0
621,1.0,17.0,3.0,1.0,3.0
622,1.0,13.0,6.0,3.0,3.0
623,3.0,26.0,23.0,8.0,26.0
624,0.0,8.0,9.0,4.0,0.0
625,0.0,0.0,0.0,0.0,0.0
626,1.0,9.0,7.0,4.0,7.0
627,0.0,11.0,7.0,0.0,11.0
628,0.0,24.0,20.0,5.0,5.0
629,0.0,35.0,31.0,13.0,13.0
630,1.0,6.0,7.0,3.0,6.0
631,0.0,7.0,5.0,2.0,7.0
632,0.0,6.0,5.0,0.0,6.0
633,1.0,16.0,10.0,4.0,4.0
634,0.0,12.0,3.0,1.0,3.0
635,5.0,58.0,49.0,9.0,9.0
636,1.0,32.0,16.0,6.0,32.0
637,2.0,68.0,68.0,12.0,68.0
638,2.0,75.0,51.0,9.0,51.0
639,0.0,41.0,39.0,5.0,39.0
640,5.0,62.0,62.0,25.0,62.0
641,1.0,37.0,20.0,12.0,37.0
642,9.0,91.0,71.0,22.0,9.0
643,2.0,46.0,37.0,8.0,37.0
644,3.0,47.0,46.0,19.0,19.0
645,5.0,64.0,54.0,20.0,54.0
646,0.0,7.0,3.0,2.0,7.0
647,1.0,7.0,1.0,2.0,7.0
648,0.0,5.0,1.0,1.0,1.0
649,0.0,5.0,6.0,3.0,0.0
650,1.0,5.0,8.0,3.0,5.0
651,0.0,4.0,0.0,0.0,0.0
652,0.0,3.0,2.0,1.0,3.0
653,1.0,4.0,6.0,1.0,1.0
654,1.0,5.0,6.0,2.0,2.0
655,0.0,3.0,2.0,1.0,2.0
656,0.0,6.0,3.0,0.0,3.0
657,0.0,6.0,1.0,2.0,0.0
658,1.0,47.0,16.0,12.0,1.0
659,0.0,76.0,50.0,11.0,50.0
660,0.0,69.0,39.0,12.0,39.0
661,4.0,68.0,69.0,19.0,69.0
662,0.0,124.0,84.0,17.0,0.0
663,1.0,76.0,59.0,5.0,76.0
664,4.0,58.0,47.0,13.0,58.0
665,4.0,60.0,32.0,13.0,32.0
666,0.0,105.0,90.0,27.0,27.0
667,1.0,10.0,2.0,2.0,2.0
668,0.0,43.0,29.0,6.0,6.0
669,0.0,21.0,18.0,7.0,7.0
670,2.0,25.0,19.0,20.0,20.0
671,0.0,6.0,11.0,1.0,0.0
672,10.0,16.0,5.0,2.0,16.0
673,9.0,53.0,49.0,12.0,53.0
674,11.0,43.0,33.0,15.0,43.0
675,1.0,19.0,8.0,5.0,8.0
676,1.0,11.0,17.0,11.0,11.0
677,5.0,50.0,42.0,13.0,50.0
678,3.0,24.0,13.0,7.0,13.0
679,0.0,14.0,14.0,2.0,14.0
680,0.0,18.0,11.0,5.0,18.0
681,4.0,36.0,35.0,10.0,4.0
682,0.0,19.0,16.0,3.0,19.0
683,2.0,14.0,8.0,5.0,2.0
684,1.0,8.0,13.0,2.0,1.0
685,2.0,7.0,3.0,3.0,3.0
686,0.0,8.0,2.0,5.0,2.0
687,3.0,30.0,31.0,12.0,30.0
688,0.0,16.0,16.0,2.0,16.0
689,0.0,3.0,2.0,0.0,0.0
690,0.0,7.0,0.0,1.0,7.0
691,0.0,11.0,13.0,5.0,13.0
692,0.0,4.0,2.0,0.0,0.0
693,0.0,6.0,7.0,1.0,6.0
694,0.0,10.0,6.0,3.0,6.0
695,0.0,26.0,10.0,3.0,10.0
